"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"„ogl¹daæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„ogrody”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„ojciec";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"„okazuje";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„opiekun”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„otar³";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„pamiêæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„pamiêtniku";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„parrain”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„paryskiej”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„pochodzenie";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„podtrzymywania";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„podziêkowanie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"„posiada";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„powa¿ne”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„powietrznym";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„powsta³a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„prawdziwego";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„prawdziwy";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„producenta";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„przejêcie";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„przestêpc¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„psychologiczny”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„pulp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„rekonstrukcja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„requiem”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„re¿ysera";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"„rodzina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„rozpraszania";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„rozszczepieniowa”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„ró¿yczka”";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„ruch";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„rybki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„rzeczywistoœæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„rzuci”";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„satellita”";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"„si³y";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„s³oñcu”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„s³owie”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„spalania”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„srebrny";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"„starego”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„stracone";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„stylu";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„swoim”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„szczegó³ów”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„szybkie";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„œcie¿ka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„œle";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„the";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"„traktat";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„transparent";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„tron”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"„tureckiej”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„twogyro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"„twój";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„uprowadzenie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„urlopu”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„utworzenia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„v”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„van”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„virtual";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„w¹tku";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„wesele";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„weso³y";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"„wêdruj¹ca”";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"„wiecznie";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„wieczysta";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„wielki";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„w³adca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„wróg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
